Ticker,Sector,Industry,Close,PE Ratio,PB Ratio,ROE,EV/EBITDA,Capital Expenditure,Working Capital,Depreciation & Amortization,SUN 10 Year,Beta,Market Risk Premium,Dividend Per Share,Dividend Yield,Dividend Time,Payout Frequency,Expected Dividend Growth,EPS CAGR 5Y (%)
CITA,Materials,Other Industrial Metals & Mining,3490.0,10.04,1.7,,8.76,-139150000000.0,1690000000000.0,98280000000.0,0.0715,-0.15,0.22,328.0,0.094,JUL,Annual,,19.28
CLPI,Materials,Specialty Chemicals,1605.0,6.63,0.85,0.1304,3.72,-2880000000.0,494150000000.0,7930000000.0,0.0715,0.08,0.22,170.51,0.10619999999999999,JUN / JUL,Annual,0.05054303999999999,11.65
DKFT,Materials,Other Industrial Metals & Mining,680.0,5.7,2.46,0.5056,4.52,-46300000000.0,905160000000.0,139240000000.0,0.0715,0.57,0.22,70.0,0.10289999999999999,JUN & OCT,Semi-Annual,0.21088576000000003,
ESSA,Materials,Chemicals,600.0,10.48,1.05,0.1406,3.62,-72870000000.0,3370000000000.0,824230000000.0,0.0715,0.2,0.22,10.0,0.0167,APR,Annual,,Negatif/Deklinasi
FWCT,Materials,Lumber & Wood Production,89.0,,0.55,-0.1335,,-54140000000.0,120490000000.0,26770000000.0,0.0715,-0.48,0.22,,,JUN & NOV,,,
GDST,Materials,Steel,139.0,12.91,0.87,0.0709,16.63,-145130000000.0,-23460000000.0,16710000000.0,0.0715,0.07,0.22,2.5,0.018000000000000002,JUN & DEC LAST 2024,Annual,0.054912050000000004,
GGRP,Materials,Steel,336.0,,0.35,-0.021099999999999997,136.96,-195560000000.0,2180000000000.0002,458170000000.0,0.0715,0.33,0.22,28.0,0.0833,JUN,,,
INCO,Materials,Other Industrial Metals & Mining,4760.0,18.45,1.01,0.0558,7.94,-9232940000000.0,3870000000000.0,3370000000000.0,0.0715,1.06,0.22,76.4,0.0161,MAY,,0.038568960000000006,-12.94
INKP,Materials,Paper & Paper Products,8575.0,3.98,0.37,0.09630000000000001,4.04,-14352200000000.0,77380000000000.0,4370000000000.0,0.0715,0.2,0.22,75.0,0.0087,JUN,Annual,0.09386361000000001,3.71
INTP,Materials,Building Materials,5250.0,7.33,0.77,0.1069,4.49,-978940000000.0,3140000000000.0,894660000000.0,0.0715,0.28,0.22,468.0,0.0891,MAY,Annual,0.03682705,7.83
ISSP,Materials,Steel,404.0,5.15,0.5,0.10289999999999999,5.71,-626880000000.0,3250000000000.0,172800000000.0,0.0715,0.28,0.22,20.0,0.0495,JUL,Annual,0.08221709999999999,2.97
MBMA,Materials,Other Industrial Metals & Mining,525.0,53.4,1.37,0.0735,13.19,-2991940000000.0,6820000000000.0,2310000000000.0,0.0715,0.56,0.22,,,-,,,Negatif/Deklinasi
MDKA,Materials,Other Industrial Metals & Mining,2870.0,,1.35,0.044800000000000006,15.08,-8455000000000.0,6830000000000.0,4190000000000.0005,0.0715,0.94,0.22,12.29,0.0043,-,,,
MINE,Materials,Other Industrial Metals & Mining,302.0,6.58,1.28,0.2027,1.69,-143690000000.0,397490000000.0,349070000000.0,0.0715,,0.22,14.75,0.048799999999999996,-,,0.13672115,-34.53
NCKL,Materials,Other Industrial Metals & Mining,930.0,5.43,1.1,0.2602,4.6,-878470000000.0,7300000000000.0,1940000000000.0,0.0715,0.91,0.22,42.64,0.045899999999999996,JUN,Annual,0.2134941,36.49
NICL,Materials,Other Industrial Metals & Mining,448.0,44.46,5.76,0.1219,26.45,-5480000000.0,207830000000.0,11710000000.0,0.0715,0.42,0.22,21.0,0.046900000000000004,MAY / JUN & AUG & NOV /DEC,Semi-Annual,-0.12984787999999997,14.1
PBID,Consumer Discretionary,Packaging & Containers,525.0,6.38,1.33,0.21760000000000002,4.59,-58620000000.0,1580000000000.0,60740000000.0,0.0715,-0.11,0.22,53.0,0.10099999999999999,MAY / JUN,Annual,0.07753088,8.33
PSAB,Materials,Gold,540.0,4.26,1.9,0.48460000000000003,4.66,-925780000000.0,2950000000000.0,2720000000000.0,0.0715,0.61,0.22,105.0,0.19440000000000002,JUN/JUL,Quarterly,0.09706538000000002,
SAMF,Materials,Agricultural Inputs,310.0,11.59,1.67,0.17079999999999998,9.29,-38190000000.0,1140000000000.0,47460000000.0,0.0715,0.07,0.22,19.0,0.0613,JUN,Annual,0.06165879999999999,10.65
SMGR,Materials,Building Materials,1560.0,27.6,0.22,0.0073,4.52,-1309960000000.0,841440000000.0,2600000000000.0,0.0715,0.08,0.22,96.22,0.0617,MAY,Annual,0.0036251799999999995,-30.4
SRSN,Materials,Chemicals,124.0,6.23,0.89,0.1527,4.15,-32369999999.999996,487020000000.0,16610000000.0,0.0715,0.09,0.22,1.0,0.008100000000000001,JUN / JUL,Annual,0.14459163,36.24
TINS,Materials,Other Industrial Metals & Mining,4900.0,9.49,3.35,0.4179,5.64,-289150000000.0,5910000000000.0,744230000000.0,0.0715,0.89,0.22,88.0,0.018000000000000002,JUN,,0.36470133,
TKIM,Materials,Paper & Paper Products,7500.0,2.98,0.41,0.1471,3.8,-1960190000000.0,3060000000000.0,889800000000.0,0.0715,0.3,0.22,30.0,0.004,JUN,Annual,0.14549661,11.84
TPIA,Materials,Specialty Chemicals,1880.0,78.84,1.79,0.0392,25.81,-14996330000000.0,70010000000000.01,4530000000000.0,0.0715,-0.14,0.22,5.69,0.003,JUN,Semi-Annual,0.011332719999999996,
BLES,Materials,Building Materials,193.0,7.7,1.37,0.19440000000000002,4.3,-169320000000.0,46960000000.0,158240000000.0,0.0715,-0.39,0.22,1.89,0.0098,JUN / JUL,,,14.91
DGWG,Materials,Agricultural Inputs,324.0,7.17,1.67,0.2576,5.38,-52060000000.0,383820000000.0,26340000000.0,0.0715,,0.22,13.0,0.0401,-,Semi-Annual,0.15592527999999997,-5.21
FPNI,Materials,Specialty Chemicals,540.0,11.28,1.68,0.1611,10.03,-55530000000.0,620440000000.0,131860000000.00002,0.0715,-0.04,0.22,,,-,,,
PART,Consumer Discretionary,Auto Parts,106.0,9.82,1.58,0.1724,8.15,-82630000000.0,70290000000.0,12560000000.0,0.0715,0.82,0.22,1.71,0.0161,-,Annual,0.14633312,
SMGA,Materials,Other Industrial Metals & Mining,86.0,13.65,1.83,0.1216,10.06,-11650000.0,308070000000.0,13930000000.0,0.0715,0.7,0.22,,,-,,,33.6
ABMM,Energy,Thermal Coal,2740.0,5.13,0.47,0.0949,3.69,-1483920000000.0,1210000000000.0,2000000000000.0,0.0715,-0.61,0.22,153.0,0.0558,MAY,Annual,0.07702084,-9.71
ASII,Industrials,Conglomerates,4820.0,6.51,0.66,0.1198,5.16,-13556000000000.0,29150000000000.0,16040000000000.0,0.0715,-0.08,0.22,390.0,0.0809,MAY & OCT,Semi-Annual,0.056857080000000004,8.23
HEXA,Industrials,Industrial Distribution,4080.0,13.75,1.13,0.0805,8.39,-42000000000.0,2540000000000.0,115240000000.0,0.0715,0.05,0.22,459.24,0.11259999999999999,SEP / OCT,Annual,-0.03655505,-22.16
JTPE,Industrials,Specialty Business Services,595.0,11.4,2.89,0.2786,5.99,-142920000000.0,573230000000.0,52050000000.0,0.0715,-0.11,0.22,24.0,0.0403,JUN & NOV,Annual,0.017245339999999987,30.88
KBLI,Industrials,Electrical Equipment & Parts,364.0,6.82,0.49,0.0753,5.21,-47060000000.0,2290000000000.0,56220000000.0,0.0715,0.07,0.22,17.0,0.0467,MAY & AUG,Annual,0.05146755,18.06
KUAS,Industrials,Building Products & Equipment,100.0,14.2,0.76,0.054299999999999994,8.85,-25760000000.0,89190000000.0,3580000000.0,0.0715,0.19,0.22,1.5,0.015,JUN / MAY,Annual,0.019591439999999998,5.18
MSJA,Consumer Discretionary,Textile Manufacturing,820.0,50.56,3.14,0.0691,24.43,-5830000000.0,361280000000.0,53860000000.0,0.0715,0.13,0.22,12.0,0.0146,JUN,Annual,0.005749119999999996,Negatif/Deklinasi
PBSA,Industrials,Engineering & Construction,725.0,8.68,2.85,0.342,6.13,-27670000000.0,535809999999.99994,18350000000.0,0.0715,0.24,0.22,55.0,0.0759,JUN,Annual,0.11645100000000001,24.54
SCCO,Industrials,Electrical Equipment & Parts,2620.0,6.42,0.38,0.0599,2.14,-25440000000.0,2340000000000.0,52740000000.0,0.0715,0.17,0.22,100.0,0.0382,JUN,Annual,0.045212520000000006,19.04
SKRN,Industrials,Rental & Leasing Services,414.0,16.35,4.75,0.3059,7.6,-26040000000.0,68680000000.00001,193440000000.0,0.0715,-0.12,0.22,85.0,0.2053,MAY / JUN & NOV,Annual,0.08705914,112.19
TOTL,Industrials,Engineering & Construction,1600.0,10.34,4.3,0.4375,7.33,-74610000000.0,341640000000.0,32610000000.0,0.0715,0.28,0.22,75.0,0.046900000000000004,MAY,Annual,0.11545625000000001,38.03
UNTR,Materials,Other Industrial Metals & Mining,24700.0,11.63,0.85,0.07440000000000001,3.79,-10659000000000.0,12430000000000.0,10600000000000.0,0.0715,-0.36,0.22,1663.0,0.0673,MAY & OCT,Semi-Annual,0.016702800000000004,-4.98
CARS,Consumer Discretionary,Auto & Truck Dealerships,119.0,10.77,1.2,0.13449999999999998,11.08,-34060000000.000004,-57760000000.0,42570000000.0,0.0715,-0.07,0.22,,,-,,,
GJTL,Consumer Discretionary,Auto Parts,1305.0,2.93,0.42,0.1532,3.11,-2572570000000.0,3110000000000.0,853880000000.0,0.0715,0.45,0.22,50.0,0.0383,JUN / JUL,Annual,0.1121424,
MPPA,Consumer Discretionary,Department Stores,40.0,,-14.45,-4.4871,4.33,-51140000000.0,-532870000000.0,97770000000.0,0.0715,0.83,0.22,,,-,,,
AALI,Consumer Staples,Farm Products,8350.0,8.86,0.67,0.08109999999999999,3.0,-866750000000.0,7700000000000.0,1450000000000.0,0.0715,0.16,0.22,458.0,0.054900000000000004,MAY & OCT,Semi-Annual,0.042837019999999996,-1.07
AMRT,Consumer Staples,Grocery Stores,1315.0,15.3,2.82,0.2003,5.78,-2666950000000.0,753390000000.0,2060000000000.0,0.0715,-0.19,0.22,41.5,0.0316,MAY,Annual,0.10413597000000001,13.13
BUDI,Consumer Staples,Packaged Foods,228.0,6.18,0.57,0.1002,6.09,-190490000000.0,1100000000000.0,196430000000.0,0.0715,0.14,0.22,7.0,0.030699999999999998,JUN & NOV,,0.07552074,14.58
CLEO,Consumer Staples,Beverages - Non-Alcoholic,414.0,23.55,3.93,0.1894,11.98,-512970000000.0,243090000000.0,225410000000.0,0.0715,-0.31,0.22,2.5,0.006,JUN,Annual,,18.93
CMRY,Consumer Staples,Packaged Foods,4460.0,16.15,4.98,0.3223,12.24,-863640000000.0,2069999999999.9998,218960000000.0,0.0715,0.18,0.22,200.0,0.044800000000000006,JUN,Semi-Annual,0.09092082999999997,22.84
CPIN,Consumer Staples,Farm Products,3110.0,6.93,1.48,0.2279,4.8,-1942270000000.0,19400000000000.0,1270000000000.0,0.0715,0.12,0.22,180.0,0.0579,MAY,Annual,0.13762881,15.53
DSNG,Consumer Staples,Farm Products,1650.0,9.3,1.48,0.1675,5.12,-1842810000000.0,883720000000.0,1010000000000.0,0.0715,-0.07,0.22,47.0,0.0285,JUN,Annual,0.14537325,21.51
GGRM,Consumer Staples,Tobacco,17650.0,7.8,0.54,0.0706,2.78,-1766700000000.0,31120000000000.0,3020000000000.0,0.0715,0.74,0.22,800.0,0.0453,JUL,,0.055216259999999996,-4.66
