Ticker,Sector,Industry,Close,PE Ratio,PB Ratio,Debt / Equity Ratio,ROE,EV/EBITDA,Capital Expenditure,Working Capital,Depreciation & Amortization,SUN 10 Year,Beta,Market Risk Premium,Dividend Per Share,Dividend Yield,Dividend Time,Payout Frequency,Expected Dividend Growth,EPS CAGR 5Y (%),Altman Z-Score,Total Assets,Retained Earnings,Market Cap,Cash & Equivalents,Account Receivable,Inventory,Total Current Asset,Total Current Liabilities,Revenue,Cost of Revenue,Gross Profit,EBIT,Net Income,Total Liabilities,Long Term Liabilities,Shareholders Equity,Interest Expense,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Interest Coverage Ratio,Free Cash Flow,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M,Flow 1M Raw
ITMG,Energy,Thermal Coal,25900.0,7.96,0.84,0.05,0.1112,2.73,-1268810000000.0,15090000000000.0,346750000000.0,0.0715,-0.64,0.22,1764.5,0.0681,APR & NOV,Semi-Annual,0.049350559999999995,-15.98,4.33,2417000000.0,1521000000.0,28810000000000.0,737580000.0,167530000.0,110530000.0,1187000000.0,343160000.0,35100000000000.0,1428000000.0,9560000000000.0,4910000000000.0,3680000000000.0,506230000.0,14430000.0,1910000000.0,-6500000.0,66599999.99999999,-138780000.0,-229210000.0,42.23,-77460000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,51.07,318.87,404.56,-168.59 M,-695.06 M,-235.48 M,+88.88 M,+188.00 M,+1.63 B,+5.88 B,-26.27 B,1626312500.0
KKGI,Energy,Thermal Coal,326.0,25.1,0.62,0.02,0.019299999999999998,3.39,-51560000000.0,1040000000000.0,43550000000.0,0.0715,-0.41,0.22,29.0,0.08900000000000001,JUN & DEC,Semi-Annual,-0.03643260999999999,Negatif/Deklinasi,4.9,174040000.0,180190000.0,1610000000000.0,44670000.0,9140000.0,9750000.0,76490000.0,18500000.0,2720000000000.0,123520000.0,513770000000.0,201620000000.0,63510000000.0,29210000.0,1860000.0,144830000.0,-190000.0,14620000.0,-8630000.0,-9050000.0,57.92,209950000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,67.7,10.91,8.95,-33.06 M,+40.09 M,+454.29 M,+482.16 M,+394.11 M,+570.49 M,+648.37 M,-537.90 M,570494800.0
MCOL,Energy,Thermal Coal,3610.0,9.11,1.25,0.1,0.1484,3.78,-312150000000.0,3090000000000.0,804420000000.0,0.0715,-0.51,0.22,275.0,0.0762,MAY & NOV,Semi-Annual,0.04134424,-24.21,5.6,743460000.0,423460000.0,13080000000000.0,151070000.0,63390000.0,14500000.0,281400000.0,108670000.0,13190000000000.0,570050000.0,2990000000000.0,1990000000000.0,1440000000000.0,159640000.0,,583830000.0,-4900000.0,167940000.0,-64250000.0,-111200000.0,22.7,2690000000000.0,DOWNTREND,BELOW MA200,TERKONFIRMASI,42.14,-28.14,-19.69,-385000,-209000,-1.62 M,-1.81 M,+10000,-3.39 M,-24.59 M,-67.21 M,-3387000.0
MEDC,Energy,Oil & Gas Exploration & Production,1495.0,14.24,0.89,1.56,0.0697,4.06,-8863120000000.0,2850000000000.0,7650000000000.0,0.0715,-0.03,0.22,53.45,0.0358,JUN & NOV,Semi-Annual,0.03264051,Negatif/Deklinasi,1.06,8273000000.0,1633000000.0,36400000000000.0,533900000.0,520000000.0,145420000.0,1589000000.0,1421000000.0,41510000000000.0,987790000.0,24770000000000.0,11050000000000.0,2550000000000.0,5867000000.0,3147000000.0,2406000000.0,-326250000.0,968680000.0,-763520000.0,-487320000.0,2.0,7560000000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,54.71,40.45,52.41,+1.80 B,+2.73 B,-3.95 B,-5.62 B,-5.62 B,+7.68 B,+31.14 B,-76.10 B,7682518000.0
MYOH,Energy,Thermal Coal,1020.0,8.97,0.72,0.08,0.0805,1.39,-142880000000.0,2210000000000.0,255560000000.0,0.0715,-0.13,0.22,64.05,0.06280000000000001,JUN,Annual,0.03521875,0.0,5.7,216500000.0,147090000.0,2280000000000.0,66590000.0,30410000.0,21310000.0,150220000.0,26850000.0,3010000000000.0,139590000.0,515240000000.0,345560000000.0,254660000000.0,38970000.0,6290000.0,177530000.0,-1570000.0,28650000.0,-10420000.0,-18240000.0,12.3,369680000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,33.41,-16.2,-1.04,-3.47 M,-5.92 M,+14.63 M,+14.63 M,+7.58 M,-3.63 M,+378.36 M,+328.58 M,-3626500.0
PTBA,Energy,Thermal Coal,3010.0,7.48,1.4,0.12,0.21109999999999998,4.19,-3121770000000.0,2830000000000.0,1060000000000.0,0.0715,-0.33,0.22,115.0,0.0382,JUN,Annual,0.040868959999999996,-10.12,2.71,48102422000000.0,21299180000000.0,35460000000000.0,6875929000000.0,4840151000000.0,4186041000000.0,16530448000000.0,13704370000000.0,44230000000000.0,35475511000000.0,8750000000000.0,4920000000000.0,4750000000000.0,22763845000000.0,2360973000000.0,25338577000000.0,-182086000000.0,8662679000000.0,-3327723000000.0,-2584076000000.0,27.04,5540000000000.0,UPTREND,ABOVE MA200,TERKONFIRMASI,63.95,154.91,159.47,-838.59 M,-992.62 M,-2.74 B,+4.17 B,+3.66 B,+61.75 B,+64.24 B,+35.62 B,61746015000.0
SICO,Energy,Oil & Gas Equipment & Services,114.0,8.28,0.75,0.29,0.0951,5.03,-9920000000.0,69920000000.0,6640000000.0,0.0715,-0.11,0.22,4.0,0.0351,APR & NOV /DEC,Semi-Annual,0.060854490000000004,7.92,3.34,187078000000.0,44416000000.0,104660000000.0,23043000000.0,21849000000.0,13532000000.0,81174000000.0,11258000000.0,157100000000.0,104790000000.0,52310000000.0,16629999999.999998,12640000000.0,47330000000.0,25431000000.0,139748000000.0,-1471000000.0,9034000000.0,-6576000000.0,1262000000.0,11.3,-881950000.0,UPTREND,BELOW MA200,TERKONFIRMASI,51.38,0.91,1.24,-919300,+581900,-1.49 M,+4.23 M,-2.86 M,+1.00 B,+1.08 B,+1.15 B,1003464100.0
TOBA,Energy,Thermal Coal,500.0,,1.24,2.14,-0.3433,9.06,-719970000000.0,629490000000.0,1480000000000.0,0.0715,0.69,0.22,18.56,0.0371,MAY,,,,0.96,764420000.0,84090000.0,4200000000000.0,85100000.0,42650000.0,20830000.0,178430000.0,143240000.0,6560000000000.0,322660000.0,787270000000.0,-643030000000.0,-1186120000000.0,575500000.0,293710000.0,188920000.0,-18410000.0,51340000.0,-44360000.0,-4500000.0,-1.95,198500000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,39.58,-4.3,8.22,-28.23 M,-53.50 M,-173.61 M,-47.45 M,-226.84 M,-293.56 M,+9.24 B,+10.84 B,-293559500.0
AMMN,Materials,Other Precious Metals & Mining,4730.0,21.05,3.22,1.0,0.1663,11.53,-14014220000000.0,35560000000000.0,7620000000000.0,0.0715,-0.42,0.22,,,-,,,Negatif/Deklinasi,,13801000000.0,3827000000.0,337440000000000.0,818940000.0,284280000.0,1490000000.0,3108000000.0,1121000000.0,66480000000000.01,1931000000.0,31940000000000.0,28860000000000.0,16020000000000.0,7939000000.0,5654000000.0,5861000000.0,-474110000.0,931250000.0,-873890000.0,-213780000.0,3.4,2640000000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,54.34,152.17,173.38,+3.98 B,+2.12 B,-54.87 B,-85.27 B,-75.09 B,+11.14 B,+136.04 B,+293.43 B,11141742000.0
ANTM,Materials,Gold,3180.0,8.75,2.02,0.16,0.2683,6.48,-663120000000.0,14920000000000.0,1010000000000.0,0.0715,0.78,0.22,209.99,0.066,JUN,Annual,0.15835066,36.74,4.87,61272871000000.0,20049315000000.0,77860000000000.0,9226074000000.0,3295675000000.0,14695146000000.0,29981631000000.0,15062093000000.0,88340000000000.0,71037536000000.0,17300000000000.0,10080000000000.0,8900000000000.0,22741351000000.0,4440440000000.0,38531520000000.0,-277356000000.0,1826163000000.0,-3859958000000.0,691553000000.0,36.34,1160000000000.0,UPTREND,BELOW MA200,TERKONFIRMASI,50.81,47.87,47.84,-3.13 B,-13.99 B,-5.85 B,-1.58 B,-8.72 B,+27.88 B,+111.10 B,-99.51 B,27878945000.0
