Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
FWCT,UPTREND,BELOW MA200,TERKONFIRMASI,45.56,-0.07,0.27,-3.03 M,-4.75 M,-2.24 M,-4.51 M,+5.16 M,+81.30 M,+4.29 B,+11.03 B
GDST,UPTREND,ABOVE MA200,TERKONFIRMASI,76.55,3.83,2.65,+3.90 B,+4.42 B,+4.42 B,+4.42 B,+4.42 B,+4.58 B,+10.85 B,+14.42 B
GGRP,UPTREND,ABOVE MA200,TERKONFIRMASI,65.99,7.28,6.44,+19.97 M,+19.97 M,+26.93 M,+21.73 M,+21.73 M,+120.32 M,+123.52 M,+220.21 M
INCO,UPTREND,BELOW MA200,TERKONFIRMASI,43.88,-95.27,-78.59,-1.02 B,+3.00 B,-375.59 M,+6.08 B,+5.48 B,-10.43 B,+11.26 B,+2.29 B
INKP,UPTREND,BELOW MA200,TERKONFIRMASI,45.85,55.37,138.9,-160.64 M,-792.41 M,-314.88 M,-692.94 M,-1.26 B,+1.13 B,+9.23 B,-30.72 B
INTP,UPTREND,BELOW MA200,TERKONFIRMASI,48.25,-1.11,44.01,+33.79 M,-296.46 M,-249.59 M,-249.59 M,-160.59 M,-1.20 B,+3.14 B,-1.79 B
ISSP,UPTREND,BELOW MA200,TERKONFIRMASI,33.61,-2.1,3.4,-60.36 M,-72.85 M,-157.30 M,-191.71 M,-193.40 M,-38.91 M,+6.56 M,-398.54 M
MBMA,UPTREND,BELOW MA200,TERKONFIRMASI,49.35,-2.85,-1.8,-1.96 B,+3.96 B,+6.43 B,+6.87 B,+6.29 B,+9.84 B,+35.38 B,-5.35 B
MDKA,UPTREND,BELOW MA200,TERKONFIRMASI,47.25,4.43,25.65,-819.51 M,+299.08 M,+816.86 M,+2.47 B,+796.34 M,+10.66 B,+22.13 B,+12.82 B
MINE,UPTREND,BELOW MA200,TERKONFIRMASI,72.9,17.96,15.54,-5.93 M,-5.93 M,+11.96 M,-3.65 M,+187.18 M,+893.31 M,+1.04 B,+885.32 M
NCKL,UPTREND,BELOW MA200,TERKONFIRMASI,49.02,1.39,7.48,+247.96 M,-546.88 M,+99.69 M,+315.50 M,+145.24 M,-815.19 M,+8.64 B,-30.99 B
NICL,DOWNTREND,BELOW MA200,TERKONFIRMASI,35.39,-10.26,-5.81,-106.31 M,-203.96 M,-113.30 M,-310.19 M,-775.41 M,-1.19 B,-247.59 M,+6.63 B
