Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
BSDE,UPTREND,BELOW MA200,TERKONFIRMASI,38.11,1.67,9.59,-716.35 M,-7.46 B,-7.42 B,-7.46 B,-7.52 B,-7.27 B,-653.32 M,-8.87 B
CTRA,UPTREND,BELOW MA200,TERKONFIRMASI,29.85,-7.06,1.59,-154.96 M,-894.22 M,-951.06 M,-994.50 M,-1.06 B,-969.32 M,-408.72 M,-3.05 B
DMAS,UPTREND,ABOVE MA200,TERKONFIRMASI,54.74,7.56,10.07,-274.56 M,-872.94 M,+814.91 M,+350.73 M,+154.39 M,+40.96 B,+53.37 B,+55.93 B
DUTI,UPTREND,ABOVE MA200,TERKONFIRMASI,79.54,69.64,89.39,0,0,+33000,+33000,+33000,+136000,+1.25 M,+2.69 M
PWON,UPTREND,BELOW MA200,TERKONFIRMASI,45.38,0.63,1.95,-25.40 M,-123.25 M,-90.24 M,-155.80 M,-155.80 M,+508.78 M,+3.55 B,-3.60 B
RDTX,DOWNTREND,BELOW MA200,TERKONFIRMASI,51.07,-120.93,-114.07,+225000,+205000,+207500,+207500,+207500,-40.06 M,-40.22 M,-84.88 M
SMRA,UPTREND,BELOW MA200,TERKONFIRMASI,23.76,-9.7,-2.63,-948.96 M,-3.83 B,-3.76 B,-3.76 B,-11.98 B,-11.56 B,-10.73 B,-13.37 B
SSIA,UPTREND,ABOVE MA200,TERKONFIRMASI,40.44,-10.42,8.12,-756.76 M,-713.01 M,-651.41 M,-651.41 M,-402.52 M,-4.32 B,+29.51 B,+60.59 B
BUKA,DOWNTREND,BELOW MA200,TERKONFIRMASI,45.07,-2.07,-1.48,+186.57 M,-136.46 M,+12.00 M,-87.71 M,-366.54 M,+1.07 B,+3.91 B,+1.86 B
EMTK,DOWNTREND,BELOW MA200,TERKONFIRMASI,34.3,-12.4,-7.74,-116.17 M,-2.37 B,-2.11 B,-2.30 B,-2.39 B,-4.23 B,-5.03 B,-13.34 B
GOTO,DOWNTREND,BELOW MA200,TERKONFIRMASI,38.4,-0.0,-0.0,0,0,0,0,0,0,0,-62.53 B
MSTI,UPTREND,BELOW MA200,TERKONFIRMASI,51.13,7.48,9.83,-4.75 M,+7.90 M,+1.23 M,+5.95 M,+1.86 M,+313.31 M,+292.65 M,-156.18 M
MTDL,UPTREND,BELOW MA200,TERKONFIRMASI,41.45,-2.23,-0.28,+5.03 M,-24.68 M,-24.68 M,-35.37 M,-35.37 M,-22.32 M,+115.87 M,+56.51 M
PTSN,UPTREND,ABOVE MA200,TERKONFIRMASI,59.84,35.85,28.98,-21.09 M,-956.13 M,-1.04 B,-1.66 B,-456.89 M,+6.75 B,+6.86 B,+6.35 B
WIRG,UPTREND,BELOW MA200,TERKONFIRMASI,45.96,2.15,3.32,-400.38 M,-1.18 B,-1.18 B,-1.78 B,-2.71 B,+6.76 B,+16.42 B,+15.27 B
CBDK,UPTREND,BELOW MA200,TERKONFIRMASI,43.11,-15.79,21.97,-61.05 M,+264.58 M,+148.46 M,+139.77 M,+168.02 M,+1.73 B,+4.13 B,+216.10 M
CDIA,UPTREND,BELOW MA200,TERKONFIRMASI,38.27,-10.33,-3.48,-356.30 M,-500.36 M,-296.93 M,-607.95 M,-836.51 M,-4.66 B,+11.09 B,+117.21 B
JKON,UPTREND,ABOVE MA200,TERKONFIRMASI,49.06,0.62,1.45,+9.72 M,-33.95 M,-41.87 M,-36.18 M,-36.18 M,+73.11 M,+12.79 B,+13.20 B
JSMR,UPTREND,BELOW MA200,TERKONFIRMASI,42.22,13.13,35.03,-257.10 M,-17.25 M,+23.23 M,-87.05 M,-284.63 M,+852.77 M,-2.96 B,+10.28 B
PGAS,UPTREND,BELOW MA200,TERKONFIRMASI,46.03,-3.92,1.63,+611.28 M,-639.84 M,-2.03 B,-2.49 B,-3.00 B,-2.87 B,-9.56 B,-33.37 B
PGEO,UPTREND,ABOVE MA200,TERKONFIRMASI,54.82,5.26,3.8,-81.96 M,+8.58 M,+147.59 M,-6.68 M,+785.89 M,-1.24 B,+14.09 B,+8.55 B
POWR,UPTREND,ABOVE MA200,TERKONFIRMASI,58.16,50.26,51.97,-466.93 M,-363.71 M,-56.68 M,+36.39 M,-606.23 M,+5.43 B,+7.20 B,+6.51 B
NRCA,UPTREND,BELOW MA200,TERKONFIRMASI,50.69,8.54,10.94,-145.60 M,-443.60 M,+1.48 B,+1.48 B,+1.46 B,+1.86 B,+4.94 B,+5.93 B
ASSA,UPTREND,BELOW MA200,TERKONFIRMASI,41.32,-7.61,-3.16,+40.59 M,-38.40 M,-4.19 M,+40.99 M,-25.70 M,-1.03 B,-716.71 M,-5.57 B
HAIS,UPTREND,BELOW MA200,TERKONFIRMASI,48.95,0.43,0.92,-429500,-67300,+236100,-879500,+47300,+17.67 M,+32.19 M,+4.79 M
IPCC,DOWNTREND,BELOW MA200,TERKONFIRMASI,31.63,-14.81,-11.96,-2.70 M,-10.89 M,-7.13 M,-20.99 M,-24.15 M,-60.33 M,-147.55 M,-140.45 M
IPCM,DOWNTREND,BELOW MA200,TERKONFIRMASI,32.61,-4.09,-4.1,0,0,+1.19 M,+232400,-518200,-54.36 M,-163.76 M,-168.58 M
MAHA,UPTREND,BELOW MA200,TERKONFIRMASI,61.79,0.35,0.4,+58.16 M,+875.47 M,+875.47 M,+871.50 M,+871.50 M,+846.90 M,+998.31 M,+707.83 M
NELY,UPTREND,BELOW MA200,TERKONFIRMASI,41.09,0.12,1.32,-13.75 M,-15.26 M,-15.81 M,-16.98 M,-14.60 M,+192.89 M,+176.71 M,+86.54 M
SMDR,UPTREND,ABOVE MA200,TERKONFIRMASI,80.63,24.39,21.38,+755.15 M,+631.75 M,+823.92 M,+823.92 M,+606.03 M,+6.54 B,+6.95 B,+6.44 B
TEBE,UPTREND,ABOVE MA200,TERKONFIRMASI,73.86,134.38,128.53,+7.39 B,+29.12 B,+28.99 B,+28.94 B,+28.64 B,+24.70 B,+69.23 B,+69.14 B
TMAS,UPTREND,ABOVE MA200,TERKONFIRMASI,64.07,4.06,4.73,+36.01 M,+28.78 M,+35.27 M,+33.68 M,+33.68 M,+225.14 M,+633.81 M,+883.66 M
TPMA,UPTREND,BELOW MA200,TERKONFIRMASI,45.83,3.93,6.27,-10.19 M,-10.19 M,-8.85 M,-21.40 M,-14.30 M,+68.22 M,+423.88 M,-3.09 B
BBRM,UPTREND,BELOW MA200,TERKONFIRMASI,54.75,1.35,1.58,+108.87 M,+108.87 M,+108.87 M,+95.32 M,+102.57 M,+900.34 M,+4.07 B,+5.42 B
BOAT,UPTREND,BELOW MA200,TERKONFIRMASI,50.7,0.68,1.53,-3.19 M,-885800,-885800,+27.63 M,+27.63 M,+56.10 M,+1.10 B,+1.69 B
BULL,UPTREND,BELOW MA200,TERKONFIRMASI,43.79,-7.16,-1.2,+8.72 B,+8.72 B,-355.90 M,-3.37 B,-4.94 B,-33.89 B,+63.88 B,+212.67 B
DCII,UPTREND,BELOW MA200,TERKONFIRMASI,53.77,15.45,287.21,-122500,+4.80 M,+6.83 M,+4.90 M,+4.90 M,+1.84 M,+82.78 M,+60.19 M
DSSA,UPTREND,BELOW MA200,TERKONFIRMASI,43.9,19.6,39.54,-6.59 B,-18.73 B,-10.21 B,-10.21 B,-7.37 B,-28.88 B,+332.26 B,+728.29 B
EDGE,DOWNTREND,ABOVE MA200,TERKONFIRMASI,53.32,0.0,0.0,0,0,0,0,0,0,0,0
INET,UPTREND,BELOW MA200,TERKONFIRMASI,51.43,13.91,21.28,-1.09 B,-3.49 B,+7.02 B,+5.44 B,+3.29 B,+58.71 B,+194.72 B,+229.68 B
MGLV,UPTREND,ABOVE MA200,TERKONFIRMASI,73.13,1268.81,1279.67,+1.03 B,+1.03 B,+1.06 B,+889.85 M,+862.52 M,+899.79 M,+12.24 B,+14.40 B
EXCL,UPTREND,BELOW MA200,TERKONFIRMASI,33.35,-40.24,-4.39,-599.84 M,-3.53 B,-3.41 B,-3.46 B,-3.46 B,-5.96 B,+2.46 B,+9.66 B
FREN,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ISAT,UPTREND,ABOVE MA200,TERKONFIRMASI,45.14,12.5,38.96,-2.88 B,-2.88 B,-2.43 B,-3.41 B,-3.01 B,-26.60 B,+98.58 B,+98.60 B
TLKM,UPTREND,BELOW MA200,TERKONFIRMASI,36.97,-9.88,0.44,-4.43 B,-10.81 B,-17.13 B,-20.04 B,-18.61 B,-383.93 M,+5.73 B,-164.66 B
LINK,UPTREND,BELOW MA200,TERKONFIRMASI,56.51,57.17,55.65,-1.78 M,-297500,-770000,-572000,-1.06 M,+25.37 M,+765500,-61.84 M
MORA,DOWNTREND,BELOW MA200,TERKONFIRMASI,33.07,-176.6,-157.05,+7.13 M,-92.00 M,-89.03 M,-89.03 M,-85.24 M,+928.64 M,-570.36 M,+24.08 B
MTEL,UPTREND,BELOW MA200,TERKONFIRMASI,58.1,8.91,8.58,-82.85 M,+1.18 B,+1.13 B,+1.02 B,+1.25 B,+5.50 B,+4.55 B,+3.17 B
TBIG,UPTREND,BELOW MA200,TERKONFIRMASI,51.03,5.06,11.15,-2.85 M,+13.48 M,+12.91 M,+11.47 M,+13.46 M,+135.06 M,+376.00 M,-1.03 B
TOWR,UPTREND,BELOW MA200,TERKONFIRMASI,40.61,1.95,8.81,0,-4.57 B,-4.44 B,-4.78 B,-4.69 B,+1.70 B,+6.67 B,+8.60 B
GLVA,UPTREND,BELOW MA200,TERKONFIRMASI,53.69,5.78,5.58,-672000,-383400,-414800,-414800,-172800,+165000,+3.21 M,-7.12 M
MLPT,DOWNTREND,BELOW MA200,DEATH CROSS 🩸,43.52,-47.96,-43.93,-71.14 M,+761000,-98.81 M,+24.02 M,+9.70 M,-841.22 M,+37.33 B,+39.70 B
KETR,UPTREND,ABOVE MA200,TERKONFIRMASI,63.25,81.41,82.37,-1.75 B,-1.63 B,+2.93 B,+3.51 B,+3.51 B,+31.74 B,+52.72 B,+93.33 B
